iter	TotalF1	MultiClass
0	0.1711629637	2.300164379
1	0.2246525547	2.297635037
2	0.2460100703	2.295639376
3	0.2624217477	2.294626998
4	0.316986506	2.291455891
5	0.337519659	2.289450528
6	0.3852366468	2.285669562
7	0.3819319877	2.285632887
8	0.3848854525	2.284299142
9	0.400016815	2.283223827
10	0.4231121202	2.279329609
11	0.4535237854	2.276298118
12	0.446483784	2.275317851
13	0.4783050562	2.271719259
14	0.4870026661	2.271118516
15	0.479592643	2.27011004
16	0.4754800421	2.268990983
17	0.4828470856	2.267685611
18	0.491836209	2.265840039
19	0.4829116626	2.264755999
20	0.4789605335	2.263994024
21	0.4783231509	2.262564386
22	0.4761881268	2.261324737
23	0.4874983405	2.259014507
24	0.5094501421	2.255464899
25	0.5117723983	2.25292226
26	0.5199458309	2.250311042
27	0.5389129659	2.247676234
28	0.5493035095	2.244326127
29	0.5480646191	2.243539392
30	0.549159859	2.241687107
31	0.5645033389	2.238513781
32	0.5855317252	2.234485392
33	0.5827533621	2.233409932
34	0.5762762593	2.232101467
35	0.580964931	2.229604977
36	0.588936815	2.228289554
37	0.5858984827	2.226912084
38	0.584934599	2.224665519
39	0.5827429126	2.223388927
40	0.5835418505	2.221068389
41	0.5771487802	2.220314594
42	0.5899539705	2.217653475
43	0.5925636064	2.21577779
44	0.5979581961	2.213222382
45	0.5976957672	2.212256422
46	0.5944474709	2.210368499
47	0.5925582642	2.208863446
48	0.610406546	2.204994894
49	0.6204491665	2.201363611
50	0.6216034566	2.200034451
51	0.6236581707	2.196522234
52	0.633223389	2.19376489
53	0.633506754	2.192027833
54	0.6286586552	2.191269476
55	0.6332190346	2.188888708
56	0.637625235	2.186954013
57	0.638720065	2.185354724
58	0.634434241	2.184861162
59	0.6342188378	2.183020686
60	0.6346121716	2.181384023
61	0.6306532799	2.180209712
62	0.6300939364	2.178954799
63	0.6254241622	2.177676291
64	0.6390351013	2.175143637
65	0.6387051838	2.17441451
66	0.6399520889	2.173629676
67	0.6471805779	2.169875008
68	0.6592277078	2.168215792
69	0.6536647788	2.166424255
70	0.6543075117	2.164683989
71	0.6560831615	2.164644706
72	0.6548251024	2.161824297
73	0.6589765864	2.160384869
74	0.663169295	2.157763771
75	0.6690683946	2.154661836
76	0.6712757711	2.153312558
77	0.6743592168	2.151818641
78	0.6717550851	2.15103409
79	0.6654535819	2.14952406
80	0.6697765808	2.148704652
81	0.6751902006	2.14575215
82	0.6724073207	2.145535145
83	0.670835133	2.14427597
84	0.6708667474	2.144252841
85	0.6715330243	2.143855653
86	0.6759632507	2.141834179
87	0.6742661863	2.140229735
88	0.6682735853	2.138277232
89	0.6721016875	2.135201453
90	0.6725485059	2.134256054
91	0.6751651815	2.132002459
92	0.6810298546	2.13048006
93	0.6796966245	2.128528003
94	0.6768559595	2.12772311
95	0.683615802	2.12567077
96	0.6831265424	2.123660508
97	0.6793575355	2.122262352
98	0.6787815388	2.120064845
99	0.6821602319	2.117868552
100	0.6839093201	2.11635689
101	0.6814257795	2.115520249
102	0.6803101602	2.114001856
103	0.681570246	2.112334677
104	0.6814445555	2.109688979
105	0.6873175109	2.106232182
106	0.6872715588	2.105281716
107	0.6855424229	2.10428951
108	0.6950020612	2.100707636
109	0.6951342858	2.09859259
110	0.6908299138	2.097961526
111	0.695698479	2.095246501
112	0.7016539962	2.091713225
113	0.7023150463	2.091506126
114	0.7029456011	2.08988439
115	0.7011643308	2.089495543
116	0.7058985009	2.088418508
117	0.7019621602	2.086545389
118	0.6999148574	2.08357365
119	0.7045610259	2.080823369
120	0.7098805333	2.077817906
121	0.71615897	2.07517891
122	0.7103245457	2.072759598
123	0.7218006404	2.069424192
124	0.7231210595	2.067875458
125	0.7188617098	2.067019487
126	0.7213020591	2.064012957
127	0.7268517914	2.062524928
128	0.7313673787	2.059115081
129	0.7303898774	2.056393265
130	0.7350623221	2.053645446
131	0.7343835173	2.053586853
132	0.7416539887	2.050724352
133	0.74208823	2.047532491
134	0.7433932005	2.043726794
135	0.7453658568	2.04134939
136	0.7547270392	2.038005363
137	0.7556013289	2.035448622
138	0.7604066892	2.033306575
139	0.7583312683	2.031888355
140	0.7577608343	2.030107968
141	0.7623857482	2.027416771
142	0.7605394433	2.026050317
143	0.7637321772	2.023583025
144	0.768015106	2.020461671
145	0.7678630976	2.018947104
146	0.7714437953	2.015395879
147	0.7752884237	2.011633923
148	0.7739813104	2.010236528
149	0.7748950554	2.00787561
150	0.7764090504	2.006530938
151	0.777676098	2.006334233
152	0.7764317802	2.005350026
153	0.7802361621	2.00196374
154	0.7819471488	1.999405747
155	0.7864412017	1.997836139
156	0.7857593535	1.996200557
157	0.7859537194	1.994407713
158	0.7806925904	1.992930215
159	0.7889358743	1.988986323
160	0.7910700277	1.985583112
161	0.7911346828	1.985434673
162	0.789798597	1.984921629
163	0.7887120304	1.982950296
164	0.7911818844	1.980440706
165	0.7924807081	1.978362065
166	0.7882228407	1.977674574
167	0.7881180344	1.975193968
168	0.7899536112	1.973104071
169	0.7901666372	1.971601075
170	0.7900508382	1.970251293
171	0.7934204644	1.967538514
172	0.7961134128	1.964885604
173	0.7965326826	1.963442816
174	0.794889472	1.961263948
175	0.7962606616	1.95891444
176	0.7990237403	1.956791214
177	0.8007640734	1.954151907
178	0.7970541881	1.952787101
179	0.7970541881	1.952755164
