iter	Passed	Remaining
0	381	267005
1	654	228366
2	934	217182
3	1178	204995
4	1417	197086
5	1671	193365
6	1941	192206
7	1979	171242
8	2244	172309
9	2485	171525
10	2741	171715
11	2998	171898
12	3244	171472
13	3503	171687
14	3777	172502
15	4002	171098
16	4253	170893
17	4860	184153
18	5236	187696
19	5564	189204
20	5913	191210
21	6212	191466
22	6460	190169
23	6760	190411
24	7023	189634
25	7292	189037
26	7571	188737
27	7872	188935
28	8233	190505
29	8500	189840
30	8797	189847
31	9058	189103
32	9364	189268
33	9735	190693
34	10008	190157
35	10371	191288
36	10678	191342
37	10932	190455
38	11183	189546
39	11482	189456
40	11757	188978
41	12014	188234
42	12278	187603
43	12529	186800
44	12783	186067
45	13019	185103
46	13283	184557
47	13560	184192
48	13829	183738
49	14091	183193
50	14352	182641
51	14627	182278
52	14883	181695
53	15148	181226
54	15427	180926
55	15709	180661
56	15961	180051
57	16210	179438
58	16335	177475
59	16573	176783
60	16847	176489
61	17109	176061
62	17341	175346
63	17573	174637
64	17853	174411
65	18168	174523
66	18447	174284
67	18687	173686
68	18944	173246
69	19204	172838
70	19529	173010
71	19572	170715
72	19840	170411
73	20086	169920
74	20368	169733
75	20633	169410
76	20897	169083
77	21144	168610
78	21414	168336
79	21687	168079
80	21942	167682
81	22181	167176
82	22297	165751
83	22541	165307
84	22574	163333
85	22810	162858
86	23068	162540
87	23311	162118
88	23576	161853
89	23843	161603
90	24102	161298
91	24367	161039
92	24606	160603
93	24873	160356
94	25141	160113
95	25389	159742
96	25648	159444
97	25904	159129
98	26161	158820
99	26423	158543
100	26669	158168
101	26924	157852
102	27202	157668
103	27430	157197
104	27714	157050
105	27971	156747
106	28316	156933
107	28567	156592
108	28831	156322
109	29082	155986
110	29332	155648
111	29685	155847
112	29960	155634
113	30054	154489
114	30319	154234
115	30570	153905
116	30840	153676
117	31083	153308
118	31350	153066
119	31605	152759
120	31842	152371
121	32127	152208
122	32370	151853
123	32658	151704
124	32897	151329
125	33169	151106
126	33447	150908
127	33734	150748
128	33995	150476
129	34259	150212
130	34534	150000
131	34566	148741
132	34824	148462
133	35066	148117
134	35320	147823
135	35581	147558
136	35861	147372
137	36123	147110
138	36394	146886
139	36653	146612
140	36908	146324
141	37185	146121
142	37469	145948
143	37743	145733
144	37980	145373
145	38331	145448
146	38599	145207
147	38906	145109
148	39194	144939
