vendor_id,business_name,business_category,price_range,content_format,is_visual_product,image_engagement_score,short_form_video_affinity,premium_affinity_score,trend_sensitivity_score,search_intent_score,conversion_readiness_score,ingredient_awareness_score,routine_complexity_score,purchase_frequency,repeat_purchase_rate,repeat_customer_signal,transaction_conversion_signal,community_engagement_score,local_discovery_score,demand_score,avg_session_time_minutes,price_sensitivity_score,brand_loyalty_score,income_low_ratio,income_mid_ratio,income_high_ratio,age_18_24_ratio,age_25_34_ratio,age_35_50_ratio,age_50_plus_ratio,female_ratio,male_ratio,video_consumption_score,text_engagement_score,ugc_score,influencer_dependency_score,research_time_score,education_content_affinity,platform_fit_score,dense_slice_confidence,niche_signal_score,visual_content_signal,product_category_affinity
100001,Crafts_Brand_00001,Crafts,Low,Text_First,0.4527,0.3629,0.446,0.5538,0.7304,0.5853,0.5262,0.4428,0.4081,Medium,0.3074,0.3267,0.6343,0.7555,0.511,0.5367,6.99,0.4433,0.4168,0.3911,0.4877,0.2887,0.1824,0.2776,0.3149,0.21,0.4367,0.5546,0.5735,0.4615,0.7332,0.4367,0.5855,0.6936,0.5433,0.6652,0.6251,0.4697,0.6131
100002,Tech_Accessories_Brand_00002,Tech_Accessories,Low,Mixed,0.3273,0.4969,0.449,0.6263,0.3738,0.769,0.4547,0.3604,0.5062,Low,0.5712,0.6996,0.4442,0.5528,0.6971,0.4289,10.57,0.4182,0.5054,0.2308,0.4491,0.3323,0.2389,0.2632,0.362,0.1487,0.3239,0.7007,0.5271,0.5548,0.6029,0.5677,0.7827,0.4109,0.7269,0.7014,0.4357,0.4762,0.6241
100003,Tech_Accessories_Brand_00003,Tech_Accessories,Mid,Image_First,0.8467,0.5683,0.5058,0.3319,0.5618,0.623,0.4356,0.5612,0.4343,Medium,0.5074,0.6012,0.2376,0.5749,0.4575,0.6827,6.29,0.7083,0.6022,0.2535,0.4741,0.2483,0.2055,0.2517,0.4098,0.2198,0.3987,0.5093,0.4716,0.4304,0.7787,0.4563,0.8386,0.838,0.5528,0.5592,0.5425,0.5528,0.7525
100004,Fashion_Brand_00004,Fashion,Mid,Image_First,0.7404,0.9554,0.5694,0.5959,0.6187,0.56,0.4371,0.4992,0.3119,Low,0.4448,0.5189,0.5399,0.4598,0.7884,0.6004,11.71,0.6721,0.5235,0.2624,0.4549,0.3862,0.2076,0.3322,0.3246,0.2343,0.6383,0.3502,0.4529,0.1985,0.5769,0.4756,0.5838,0.3923,0.6632,0.5682,0.6396,0.6503,0.6206
100005,Home_Brand_00005,Home,Premium,Image_First,0.5042,0.7663,0.6855,0.4326,0.6396,0.838,0.4776,0.5874,0.5581,Medium,0.615,0.5971,0.5131,0.7304,0.6061,0.5093,4.46,0.5299,0.5561,0.2692,0.4687,0.3401,0.1651,0.3052,0.3664,0.1241,0.4408,0.398,0.5108,0.564,0.6988,0.3619,0.6272,0.7461,0.576,0.5963,0.5485,0.6779,0.6351
100006,Crafts_Brand_00006,Crafts,Mid,Image_First,0.3821,0.8485,0.5214,0.4509,0.2748,0.5246,0.4348,0.4521,0.5475,High,0.4628,0.3187,0.5553,0.7116,0.7151,0.6071,7.96,0.4254,0.5847,0.2512,0.3104,0.3217,0.3017,0.3648,0.3373,0.1495,0.6318,0.2899,0.4675,0.1788,0.6637,0.4656,0.5115,0.6724,0.5912,0.5738,0.6047,0.6344,0.3941
100007,Pets_Brand_00007,Pets,Mid,Text_First,0.622,0.6346,0.1789,0.5116,0.5098,0.5424,0.6694,0.6211,0.6434,High,0.6187,0.861,0.6444,0.7453,0.5433,0.6073,2.85,0.7201,0.8689,0.2737,0.4229,0.2395,0.1641,0.2727,0.3263,0.2382,0.4154,0.5765,0.3399,0.8789,0.495,0.5252,0.388,0.9001,0.6688,0.4804,0.6655,0.5548,0.5762
100008,Wellness_Brand_00008,Wellness,Low,Image_First,0.5681,0.5875,0.5497,0.5439,0.4624,0.6805,0.5646,0.4578,0.5474,Low,0.694,0.6751,0.5987,0.604,0.5091,0.7001,10.28,0.5605,0.7722,0.1852,0.4261,0.2879,0.2665,0.2376,0.3445,0.1881,0.5403,0.5192,0.451,0.4972,0.7698,0.6211,0.3422,0.5933,0.4531,0.5015,0.5718,0.7387,0.549
100009,Fashion_Brand_00009,Fashion,Premium,Image_First,0.6063,0.8127,0.4215,0.2764,0.8628,0.5714,0.473,0.4276,0.4094,Medium,0.4385,0.4682,0.4554,0.7482,0.3486,0.5978,3.73,0.4541,0.5939,0.3724,0.4134,0.3267,0.1264,0.2295,0.2813,0.2217,0.4917,0.4587,0.3785,0.5642,0.8042,0.6101,0.5255,0.5817,0.6775,0.513,0.8977,0.7089,0.485
100010,Pets_Brand_00010,Pets,Low,Text_First,0.366,0.5192,0.4673,0.3703,0.5158,0.5157,0.3371,0.5869,0.4568,Medium,0.7243,0.6391,0.5231,0.7568,0.4832,0.5404,9.82,0.6088,0.7081,0.212,0.4237,0.2308,0.2184,0.2567,0.3188,0.113,0.5366,0.554,0.6346,0.524,0.7639,0.5484,0.3785,0.7036,0.7824,0.6013,0.4801,0.7007,0.5313
