vendor_id,business_name,category,location_type,total_gmv,avg_ticket_size,transaction_count,repeat_customer_rate,refund_rate_estimate,payment_method_mix,revenue_volatility_score,weekend_sales_ratio,late_night_sales_ratio,risk_score
1000,"Flowers, Haney and Johnson",Food,mall,4408.58,37.36,118,0.4576,0.0362,digital_wallet_heavy,0.8655,0.566,0.1997,0.4552
1001,"Martinez, Sweeney and Holmes",Beauty,home_based,861.36,26.1,33,0.2424,0.0209,card_dominant,0.3092,0.229,0.2665,0.4469
1002,Hampton Inc,Wellness,standalone,10055.21,57.79,174,0.6724,0.0521,card_dominant,0.6957,0.2103,0.2925,0.3186
1003,Macias Ltd,Crafts,mall,4127.54,40.87,101,0.5545,0.0683,card_dominant,0.3486,0.2909,0.0959,0.313
1004,Williams-Jimenez,Pets,mall,1586.26,26.0,61,0.2787,0.0313,digital_wallet_heavy,0.5673,0.416,0.1228,0.4835
1005,Mullins Ltd,Fitness,pop_up,5243.11,40.02,131,0.5954,0.0528,digital_wallet_heavy,0.2976,0.3461,0.1416,0.2777
1006,Wallace PLC,Fashion,mall,4799.53,38.4,125,0.568,0.0419,card_dominant,0.7496,0.2998,0.1786,0.3785
1007,Ali-Perkins,Food,standalone,1424.7,22.98,62,0.4677,0.0515,card_dominant,0.2325,0.5038,0.0926,0.3281
1008,Tran-English,Tech_Accessories,mall,14264.31,78.38,182,0.7802,0.0146,card_dominant,0.8642,0.6828,0.2521,0.2871
1009,Branch-Robinson,Fitness,standalone,787.15,23.15,34,0.4412,0.0313,digital_wallet_heavy,0.2684,0.5421,0.16,0.3425
1010,Scott Group,Tech_Accessories,pop_up,1273.78,24.98,51,0.5098,0.0185,digital_wallet_heavy,0.5466,0.2172,0.2773,0.36
1011,"Allen, Hebert and Marsh",Fashion,pop_up,3325.6,36.55,91,0.5824,0.0281,card_dominant,0.6638,0.3559,0.18,0.35
1012,"Burke, Lewis and Rodriguez",Tech_Accessories,home_based,4746.02,37.67,126,0.5,0.0483,digital_wallet_heavy,0.3294,0.6848,0.2438,0.3304
1013,Terrell-Riley,Wellness,standalone,4314.57,37.52,115,0.5913,0.0758,card_dominant,0.8264,0.4989,0.2805,0.3924
1014,Robinson Group,Fashion,pop_up,3779.91,37.42,101,0.6139,0.0162,digital_wallet_heavy,0.3372,0.2226,0.1313,0.2653
1015,Lawson and Sons,Wellness,home_based,3055.73,36.38,84,0.5238,0.0372,mixed,0.3899,0.6144,0.1392,0.3272
1016,Boone PLC,Wellness,standalone,1250.68,25.01,50,0.36,0.0297,card_dominant,0.5799,0.2705,0.2505,0.4449
1017,"Dunn, Young and Brown",Home,mall,1627.74,23.59,69,0.1884,0.0152,mixed,0.8908,0.5861,0.0997,0.5885
1018,Watson-Rice,Fitness,pop_up,4998.22,36.48,137,0.4234,0.0104,card_dominant,0.7708,0.5534,0.2323,0.4456
1019,"Scott, Lawrence and Olson",Fitness,home_based,1008.69,21.93,46,0.3913,0.064,card_dominant,0.2518,0.3792,0.079,0.3739
1020,Mitchell-Roach,Wellness,home_based,3106.43,38.35,81,0.4938,0.0704,mixed,0.6363,0.3654,0.0659,0.4015
1021,Hansen Ltd,Crafts,pop_up,2832.43,34.97,81,0.4198,0.0318,card_dominant,0.4276,0.5648,0.2094,0.3852
1022,Smith-Wood,Crafts,mall,5130.19,38.0,135,0.5111,0.0721,digital_wallet_heavy,0.5306,0.2598,0.2283,0.3722
1023,"Washington, Meyer and Cameron",Home,mall,3140.21,36.51,86,0.6744,0.0633,mixed,0.5929,0.5855,0.1734,0.3004
1024,Warren-Johnson,Wellness,home_based,7211.42,56.78,127,0.7087,0.0466,digital_wallet_heavy,0.4993,0.2127,0.077,0.2595
1025,Kim-West,Education,home_based,7976.23,58.65,136,0.7206,0.0122,digital_wallet_heavy,0.6455,0.3572,0.1771,0.2725
1026,"Becker, Murphy and Craig",Home,standalone,881.11,22.03,40,0.25,0.0735,digital_wallet_heavy,0.3745,0.4052,0.2389,0.472
1027,"Cole, Jones and Harris",Home,mall,19594.82,79.33,247,0.8057,0.026,digital_wallet_heavy,0.2539,0.3449,0.0903,0.1557
1028,"Foster, Wallace and Ward",Crafts,standalone,9915.58,57.65,172,0.7733,0.0751,card_dominant,0.7657,0.5167,0.2679,0.289
1029,"Chapman, Welch and Hawkins",Education,mall,20955.81,81.86,256,0.7891,0.0663,mixed,0.3306,0.6463,0.1848,0.1915
1030,"Butler, Martin and Barnes",Pets,mall,3934.08,36.43,108,0.6204,0.0665,card_dominant,0.8273,0.359,0.0775,0.3752
1031,"Warren, Lang and Turner",Pets,home_based,1350.49,25.48,53,0.283,0.026,mixed,0.499,0.609,0.2652,0.4661
1032,Robbins and Sons,Tech_Accessories,home_based,4768.54,36.68,130,0.4923,0.0105,mixed,0.5575,0.4087,0.1055,0.3685
1033,Evans and Sons,Fashion,home_based,854.28,23.73,36,0.3333,0.0184,card_dominant,0.4363,0.6715,0.1308,0.4261
1034,Smith-Mcknight,Home,standalone,1852.22,25.37,73,0.4521,0.0463,mixed,0.6921,0.3818,0.2929,0.4263
1035,"Johnson, Ruiz and Mullins",Pets,home_based,4684.15,36.03,130,0.4462,0.0774,digital_wallet_heavy,0.3762,0.4486,0.1252,0.3754
1036,"Martin, Fields and Harris",Crafts,mall,5183.7,38.12,136,0.4338,0.0299,digital_wallet_heavy,0.2258,0.5048,0.1757,0.3372
1037,Parrish-Guzman,Tech_Accessories,standalone,4217.88,35.44,119,0.521,0.0136,digital_wallet_heavy,0.3951,0.6541,0.1099,0.3226
1038,"Schneider, Jackson and Cochran",Education,standalone,4742.75,36.2,131,0.4427,0.0201,digital_wallet_heavy,0.5426,0.6928,0.1105,0.3932
1039,Myers-Atkinson,Wellness,pop_up,10196.99,57.29,178,0.691,0.057,card_dominant,0.7331,0.3188,0.2321,0.3182
1040,"Evans, Jones and Walker",Wellness,home_based,832.67,22.5,37,0.4595,0.0357,mixed,0.6426,0.5168,0.1839,0.4095
1041,"Poole, Anderson and Hale",Education,standalone,789.67,23.23,34,0.2941,0.0163,digital_wallet_heavy,0.7847,0.3604,0.0966,0.5148
1042,"Rodriguez, Black and Smith",Wellness,home_based,4431.55,35.45,125,0.456,0.0129,digital_wallet_heavy,0.6136,0.5388,0.0541,0.3986
1043,King-Duran,Beauty,standalone,4701.44,37.91,124,0.4597,0.0458,card_dominant,0.3585,0.5226,0.0936,0.3556
1044,Hahn PLC,Fashion,home_based,3724.64,36.88,101,0.6139,0.0584,card_dominant,0.4707,0.6684,0.0844,0.3047
1045,Wilson-Cohen,Wellness,home_based,1144.4,26.01,44,0.3182,0.0339,mixed,0.2794,0.6623,0.2693,0.407
1046,Barajas-Gross,Wellness,standalone,1313.33,22.64,58,0.4138,0.0281,card_dominant,0.662,0.6086,0.1888,0.4339
1047,Avila-Callahan,Home,home_based,908.01,22.7,40,0.475,0.0471,digital_wallet_heavy,0.3693,0.2466,0.2743,0.3505
1048,Floyd PLC,Education,pop_up,1152.46,25.05,46,0.3913,0.073,card_dominant,0.6432,0.3695,0.1373,0.4549
1049,Fox LLC,Tech_Accessories,pop_up,1889.71,24.54,77,0.5065,0.0608,mixed,0.828,0.6435,0.245,0.4306
1050,Dunn-Howard,Tech_Accessories,home_based,20352.57,80.76,252,0.8175,0.0549,card_dominant,0.2589,0.2808,0.2746,0.1595
1051,Evans PLC,Pets,standalone,6749.83,55.78,121,0.6777,0.0525,card_dominant,0.2064,0.2507,0.2159,0.2182
1052,"Silva, Harper and Snyder",Home,home_based,4502.03,37.83,119,0.5462,0.0104,digital_wallet_heavy,0.3126,0.4744,0.223,0.2925
1053,James-Leonard,Home,pop_up,21992.8,81.45,270,0.9222,0.0556,digital_wallet_heavy,0.357,0.5561,0.1093,0.127
1054,"Perez, Schultz and Macdonald",Home,pop_up,9198.12,57.85,159,0.6855,0.0328,digital_wallet_heavy,0.7225,0.5248,0.2623,0.3116
1055,"Nguyen, Decker and Copeland",Home,standalone,955.78,24.51,39,0.4359,0.056,mixed,0.5978,0.2468,0.1419,0.4184
1056,Perkins Group,Food,pop_up,1751.8,24.33,72,0.5278,0.0286,card_dominant,0.3708,0.6865,0.1483,0.3188
1057,"Luna, Thompson and Richards",Education,mall,874.05,24.28,36,0.25,0.0724,card_dominant,0.6418,0.5974,0.1757,0.5251
1058,Bates-Wilson,Pets,standalone,3972.48,36.78,108,0.3796,0.0504,card_dominant,0.5448,0.2976,0.2306,0.4343
1059,Williams-Gallagher,Tech_Accessories,standalone,8574.07,55.32,155,0.6645,0.0297,digital_wallet_heavy,0.217,0.5227,0.0943,0.2201
1060,"Ramos, Jones and Miller",Education,pop_up,9553.31,56.2,170,0.5882,0.0758,digital_wallet_heavy,0.8678,0.6574,0.1425,0.4022
1061,"Robertson, Hopkins and Bond",Tech_Accessories,mall,20795.99,79.07,263,0.9506,0.0111,digital_wallet_heavy,0.8498,0.4141,0.2917,0.198
